id,name,surname,original_name,synonyms,orcid,url,birth_year,death_year,remarks
306,Andrea Di Lullo,Di Lullo,,,,,,,
311,Roberto Dinale,Dinale,,,,,,,
312,Guglielmina Adele Maria Diolaiuti,Diolaiuti,,Guglielmina Diolaiuti,,https://expertise.unimi.it/get/person/guglielmina-diolaiuti,,,
313,Fabrizio Diotri,Diotri,,,,,,,
314,Dwarika P. Dobhal,Dobhal,,,,,,,
315,Karl Döhler,Döhler,,,,,,,
316,Giovanni Donadelli,Donadelli,,,,,,,
318,M. Dragosics,Dragosics,,,,,,,
1606,Stefano Drigo,Drigo,,,,,,,
320,H. J. Drong,Drong,,,,,,,
321,Laura Dublanc,Dublanc,,,,,,,
323,Florian Dünser,Dünser,,,,,,,
324,Könz Duri,Duri,,,,,,,
325,Inés Dussaillant,Dussaillant,,,,,,,
1612,Meerim Dzholdosheva,Dzholdosheva,,,,,,,
327,Jan Dzierżek,Dzierżek,,,0000-0002-8821-0090,,,,
328,Peter Ebneter,Ebneter,,,,,,,
329,Miles A. Ecclestone,Ecclestone,,,,,,,
330,Keith Echelmeyer,Echelmeyer,,,,,,,
332,Mark Ednie,Ednie,,,,,,,
333,Lukas Eggimann,Eggimann,,,,,,,
334,Jacques Ehinger,Ehinger,,,,,,,
336,Ragnar Ekker,Ekker,,,,,,,
337,Nelly Elagina,Elagina,,,0000-0003-2799-2575,,,,
338,Hallgeir Elvehøy,Elvehøy,,,,,,,
1447,L. Elvekrok,Elvekrok,,,,,,,
339,R. Elvesæter,Elvesæter,,,,,,,
340,Z. Engel,Engel,,,,,,,
341,Rune Verpe Engeset,Engeset,,,,https://www.nve.no/vann-og-vassdrag/vannets-kretsloep/vaare-forskere/rune-verpe-engeset/,,,
342,Pia Eriksson,Eriksson,,,0000-0002-4331-024X,,,,
343,Bakyt Ermenbayev,Ermenbayev,,,,,,,
345,Evgeniy Ermolin,Ermolin,,,,,,,
346,Alexander Anatolievich Erofeev,Erofeev,Александр Анатольевич Ерофеев,Alexander Erofeev,0000-0002-7890-1410,https://persona.tsu.ru/Home/UserProfile/7529,,,
348,Fernando Escobar Cáceres,Escobar Cáceres,,,,,,,
349,Muxammet Esenaman uulu,Esenaman uulu,Мухаммед Эсенаман уул,Mokhamed Esenamanov | Muhammed Esenaman uulu,,https://www.caiag.kg/ky/b-l-md-r/2-b-l-m-klimat-suu-zhana-zharatylysh-resurstary-b-l-m/kyzmatkerler/374-esenaman-uulu-mukhammed,,,
1493,Davron Eshmiratov,Eshmiratov,,,,,,,
1477,Alejandra Espinoza,Espinoza,,,,,,,
351,Lydia Espizua,Espizua,,,,,,,
352,Giulio Esposito,Esposito,,,0000-0002-7057-155X,,,,
1418,Kristjana Eyþórsdóttir,Eyþórsdóttir,,,,,,,
355,Kristjana G. EyÞórsdóttir,EyÞórsdóttir,,,,,,,
357,Knut Fægri,Fægri,,,,,,,
358,Daniel Fagre,Fagre,,,0000-0001-8552-9461,,,,
359,Daniel Falaschi,Falaschi,,,0000-0001-9232-2813,,,,
360,Jörg Färber,Färber,,,,,,,
361,Luca Farinella,Farinella,,,,,,,
362,Daniel Farinotti,Farinotti,,,0000-0003-3417-4570,,,,
363,Dario Favre,Favre,,,,,,,
1419,Fabio Fazzini,Fazzini,,,,,,,
364,E. Felkel,Felkel,,,,,,,
365,François Fellay,Fellay,,,,,,,
1465,Alessandro Fellin,Fellin,,,,,,,
366,Saverio Fellin,Fellin,,,,,,,
1526,Alfonso Fernández,Fernández,,,,,,,
1540,Francisco Javier Fernandoy Pedreros,Fernandoy Pedreros,,Francisco Fernandoy,0000-0003-2252-7746,https://researchers.unab.cl/en/persons/francisco-fernandoy,,,
368,Francesco Ferrarese,Ferrarese,,,,,,,
369,Cristian Ferrari,Ferrari,,,,,,,
370,Umberto Ferrari,Ferrari,,,,,,,
371,Cristiana Ferrero,Ferrero,,,,,,,
367,Cristina Ferrero,Ferrero,,,,,,,
372,Lidia Ferri Hidalgo,Ferri Hidalgo,,,0000-0002-0757-7828,,,,
374,Gian Cla Feuerstein,Feuerstein,,,,,,,
1536,William Osgood Field,Field,,,,https://www.wikidata.org/wiki/Q105916558,1904,1994,
377,Sebastian Finsterwalder,Finsterwalder,,,,,,,
378,Matteo Fioletti,Fioletti,,,,,,,
379,Andrea Fischer,Fischer,,,0000-0003-1291-8524,,,,
382,Mauro Fischer,Fischer,,,0000-0002-0950-776X,,,,
383,Cristina Fisler,Fisler,,,,,,,
384,Erwin Fistill,Fistill,,,,,,,
386,Sean Fitzsimons,Fitzsimons,,,0000-0003-0513-7367,,,,
387,Per Kristoffersen Fjelldal,Fjelldal,,,,,,,
388,Johan Flatebø,Flatebø,,,,,,,
389,Zanni Flemi,Flemi,,,,,,,
390,Caitlyn E. Florentine,Florentine,,Caitlyn Florentine,0000-0002-7028-0963,,,,
394,S. Flury,Flury,,,,,,,
396,Giuseppe Fontana,Fontana,,,,,,,
1544,James Foreman,Foreman,,,0000-0003-0535-4580,https://www.usgs.gov/staff-profiles/james-foreman,,,
397,Fulvio Fornengo,Fornengo,,,,,,,
398,Marco Fornengo,Fornengo,,,,,,,
400,Forster,Forster,,,,,,,
401,Andrew G. Fountain,Fountain,,,0000-0001-5299-2273,,,,
787,Miguel Francés Mahamud,Francés Mahamud,,,,,,,
402,Gianluigi Franchi,Franchi,,,,,,,
403,Bernard Francou,Francou,,,0000-0003-3656-9349,,,,
404,Marco Frasca,Frasca,,,,,,,
1575,Zan Frederick,Frederick,,,,,,,
406,Maurus Frei,Frei,,,,,,,
407,Michele Freppaz,Freppaz,,,,,,,
408,W. Fresacher,Fresacher,,,,,,,
410,V. S. Freydlin,Freydlin,В. С. Фрейдлин,,,,,,
411,Christoph Friedrich,Friedrich,,,,,,,
412,Margit Friedrich,Friedrich,,,,,,,
413,Reinhold Friedrich,Friedrich,,,,,,,
414,Jean Michel Friedt,Friedt,,,,,,,
1082,Alessandro Frison,Frison,,,,,,,
415,Peter Fritz,Fritz,,,,,,,
416,M. Fritzsch,Fritzsch,,,,,,,
1473,Davide Fugazza,Fugazza,,,,,,,
417,Ueli Fuhrer,Fuhrer,,,,,,,
419,Fujita Koji,Fujita,藤田 耕史,,0000-0003-3753-4981,,,,
420,Fukui Kotaro,Fukui,福井 幸太郎,,0000-0003-2106-0232,https://researchmap.jp/pukuun,,,
422,Martin Funk,Funk,,,,,,,
423,Alberto Fusinaz,Fusinaz,,,,,,,
424,André Fusinaz,Fusinaz,,,,,,,
426,Mauro Gaddo,Gaddo,,,,,,,
427,Bogdan Gądek,Gądek,,,0000-0002-8755-9119,,,,
1416,Gianluigi Gadin,Gadin,,,,,,,
428,Gian Luigi Gadin,Gadin,,,,,,,
429,Abror Gafurov,Gafurov,,,0000-0003-0337-465X,,,,
1476,Matias Galaoz,Galaoz,,,,,,,
1556,Emanuel Galetta,Galetta,,,,,,,
432,H. Gall,Gall,,,,,,,
433,R. Gallaire,Gallaire,,,,,,,
434,Enrico Gallazzini,Gallazzini,,,,,,,
435,Paolo Gallo,Gallo,,,,,,,
436,Alessandro Galluccio,Galluccio,,,,,,,
438,Antonio Galluccio,Galluccio,,,,,,,
437,Francesco Galluccio,Galluccio,,,,,,,
1607,Stefano Galluccio,Galluccio,,,,,,,
441,Stephan Peter Galos,Galos,,,0000-0002-9087-2667,,,,
443,Andreas Gantner,Gantner,,,,,,,
446,Hernán Gargantini,Gargantini,,,,,,,
447,C. Garin,Garin,,,,,,,
448,Roberto Garino,Garino,,,,,,,
449,Antonio Garlaschelli,Garlaschelli,,,,,,,
450,Isabelle Gärtner-Roer,Gärtner-Roer,,,,,,,
1457,Norman Gasperini,Gasperini,,,,,,,
451,Yannick Gerard,Gerard,,,,,,,
1515,Eva Gertsch,Gertsch,,,,,,,
453,Marco Giada,Giada,,,,,,,
454,Bruce Giffen,Giffen,,,,,,,
455,Andrea Gigliuto,Gigliuto,,,,,,,
456,Michelangelo Gilli,Gilli,,,,,,,
457,Patrick Ginot,Ginot,,,0000-0003-4472-3721,,,,
458,Augusto Giorcelli,Giorcelli,,,,,,,
459,Marco Giorcelli,Giorcelli,,,,,,,
